reading_id,device_id,timestamp,pm25_raw,pm10_raw,co_raw,temperature,humidity,no2_mv,no2_raw
1238,device_01,2025-11-06 10:36:15.42311,39,49,90,29.6,73.2,961.5,1058
1239,device_01,2025-11-06 10:41:26.63323,39,49,69,29.5,74,926.9,1012
1240,device_01,2025-11-06 10:46:35.218098,38,46,65,29.4,75.7,910.2,992
1241,device_01,2025-11-06 10:51:44.543263,48,59,60,28.6,77.7,896.5,974
1242,device_01,2025-11-06 10:56:54.608179,47,59,57,28.3,78.8,879.4,952
1243,device_01,2025-11-06 11:02:03.751375,48,58,55,28.3,79.8,861.3,928
1244,device_01,2025-11-06 11:07:13.277443,43,50,54,28.4,80.8,856.4,925
1245,device_05,2025-11-06 11:10:50.897853,43,51,430,27.1,84.9,703.1,689
1246,device_01,2025-11-06 11:12:22.200343,43,52,53,28.4,81.8,839.2,900
1247,device_05,2025-11-06 11:15:58.227368,57,68,360,27.3,86,710.6,697
1248,device_01,2025-11-06 11:17:30.163515,39,48,52,28.5,82.7,822.1,880
1249,device_05,2025-11-06 11:21:05.400918,44,53,327,27,86.2,702.9,687
1250,device_01,2025-11-06 11:22:38.046488,37,43,50,28.6,83,828.9,887
1251,device_05,2025-11-06 11:26:12.635328,46,55,308,26.6,86.6,682.7,665
1252,device_01,2025-11-06 11:27:45.924503,35,39,48,28.6,82.3,821.3,876
1253,device_05,2025-11-06 11:31:19.885349,36,38,300,26.5,87,690.6,671
1254,device_05,2025-11-06 11:31:46.960772,21,24,1187,25.3,59.5,923.9,953
1255,device_01,2025-11-06 11:32:54.265327,35,39,50,28.4,82,819,874
1256,device_02,2025-11-06 11:35:54.548981,35,39,1174,25.3,58.7,824.7,831
1257,device_05,2025-11-06 11:36:27.077599,36,41,291,26.4,86.8,689.2,672
1258,device_01,2025-11-06 11:38:02.122923,35,43,51,28.5,82,813.3,866
1259,device_05,2025-11-06 11:41:35.556253,35,37,291,26.4,86.5,688.5,674
1260,device_01,2025-11-06 11:43:11.21969,34,38,51,28.5,82,827.8,886
1261,device_05,2025-11-06 11:46:43.233228,30,30,277,26.4,86.4,672.2,653
1262,device_02,2025-11-06 11:47:01.403695,35,38,1187,29.4,73.7,906.4,926
1263,device_01,2025-11-06 11:48:19.541096,34,35,51,28.2,82,822.6,878
1264,device_05,2025-11-06 11:51:50.944351,29,29,273,26.4,86.3,666.8,645
1265,device_01,2025-11-06 11:53:27.539339,35,41,51,28.4,82,814.5,869
1266,device_05,2025-11-06 11:56:58.066825,30,31,269,26.3,86.2,680.2,660
1267,device_01,2025-11-06 11:58:36.042792,42,49,51,28.6,82,814.1,868
1268,device_05,2025-11-06 12:02:04.411346,31,32,265,26.3,86.4,679.3,665
1269,device_01,2025-11-06 12:03:44.669079,36,40,50,28.3,82,799.5,848
1270,device_05,2025-11-06 12:07:10.637486,34,35,263,26.2,86.8,677.4,657
1271,device_02,2025-11-06 12:08:29.414941,32,33,1155,28.4,79,880.5,899
1272,device_01,2025-11-06 12:08:52.605134,37,47,50,28.5,82.8,804.3,856
1273,device_05,2025-11-06 12:12:17.651216,34,35,261,26.1,87.5,642.2,619
1274,device_01,2025-11-06 12:14:00.709931,34,40,49,28.3,83,783.4,829
